path_id	project_id	project_number	skill
218	0	1	Réaliser une étude de marché
218	0	1	Créer l'identité visuelle d'une marque
218	0	1	Planifier les étapes nécessaires pour créer une activité
218	0	1	Valider la pertinence d'une offre auprès de cibles potentielles
218	0	1	Définir une offre et une proposition de valeur
218	0	1	Formaliser une idée sous la forme d'un business model canvas
218	0	1	Identifier ses forces, faiblesses, moyens et contraintes en tant qu'entrepreneur
218	0	2	Réaliser un plan d'action marketing et de communication
218	0	2	Identifier une équipe autour d'un projet de création d'entreprise
218	0	2	Réaliser un plan d'action commercial
218	0	3	Rédiger un executive summary convaincant
218	0	3	Effectuer les démarches administratives de création d’une entreprise
218	0	3	Réaliser les états financiers prévisionnels pour une activité
218	0	4	Développer la présence online ou offline d'une activité
218	0	4	Prospecter des clients, fournisseurs ou partenaires
218	0	4	Présenter un projet d'entreprise de manière convaincante
218	0	5	Assurer les bases d'une gestion administrative et comptable d'une entreprise
218	0	5	Suivre la performance d'une activité
106	0	1	Rédiger efficacement un CV
106	0	1	Fixer des objectifs clairs
106	0	1	Personnaliser un programme de formation
106	0	2	Contribuer à définir la politique commerciale
106	0	2	Établir le diagnostic stratégique d'une entreprise
106	0	2	Maîtriser l'environnement économique de son organisation
106	0	3	Réaliser la gestion financière en suivant des indicateurs de performance
106	0	4	Gérer les temps de travail de son équipe
106	0	4	Mener les actions administratives de gestion du personnel
106	0	4	Recruter un salarié
106	0	5	Participer aux travaux relatifs à la santé et la sécurité
106	0	5	Ajuster les emplois et développer les compétences
106	0	6	Contribuer à la mise en œuvre d'une démarche qualité, environnementale et sociale
106	0	7	Adapter son management au contexte organisationnel
106	0	7	Animer au quotidien son équipe
106	0	7	Appliquer les règles du droit social dans son équipe
106	0	7	Organiser le travail de son équipe
106	0	8	Utiliser les logiciels bureautiques et les outils collaboratifs
106	0	8	Rédiger des écrits professionnels
106	0	8	Établir des relations de qualité avec les parties prenantes
106	0	8	Communiquer efficacement en anglais
106	0	8	Concevoir une communication digitale
106	0	9	Élaborer et piloter un projet
106	0	10	Réaliser un mémoire professionnel
341	0	1	Adopter une posture de commercial
341	0	1	Réaliser une veille sur les méthodes de vente
341	0	1	Mettre en œuvre les bonnes pratiques de personal branding
341	0	2	Sourcer des prospects qualifiés
341	0	2	Organiser une activité commerciale à l'aide d'un CRM
341	0	2	Analyser le marché d'un secteur
341	0	3	Maîtriser un pitch commercial
341	0	3	Mener des entretiens de prospection
341	0	3	Suivre les résultats d'une prospection
341	0	4	Traiter les objections d'un prospect
341	0	4	Préparer un rendez-vous commercial
341	0	4	Présenter une proposition commerciale tarifée
341	0	4	Réaliser un entretien de vente
341	0	5	Contractualiser dans le respect des exigences légales
341	0	5	Négocier les conditions d'une vente
341	0	6	Analyser les ventes pour développer la performance commerciale
341	0	6	Gérer un portefeuille clients
341	0	6	Réaliser des ventes additionnelles pour les clients existants
341	0	6	Capitaliser sur les clients existants
324	0	1	Élaborer un plan d'apprentissage personnalisé et un ensemble d'outils
324	0	2	Générer des graphiques adaptés aux types de données
324	0	2	Synthétiser des résultats à destination d'un client
324	0	2	Interpréter les informations provenant d'un dashboard
324	0	3	Charger des données dans une base de données
324	0	3	Créer des tables dans une base de données
324	0	3	Créer le schéma d'une base de données
324	0	3	Effectuer des requêtes SQL pour répondre à une problématique métier
324	0	3	Mettre à jour un catalogue de données
324	0	4	Utiliser des librairies spécialisées pour les traitements data
324	0	4	Manipuler des DataFrames
324	0	4	Créer un environnement de développement
324	0	5	Réaliser une analyse univariée pour interpréter des données
324	0	5	Classifier différents types de données
324	0	5	Gérer les erreurs et les incohérences présentes sur des données stockées
324	0	6	Analyser des séries temporelles
324	0	6	Réaliser une analyse bivariée pour interpréter des données
324	0	6	Réaliser un test statistique
324	0	7	Préparer des données pour l'analyse en respectant les normes internes à l’entreprise
324	0	7	Collecter des données en respectant le RGPD
324	0	7	Transférer des données vers une zone de préparation
324	0	8	Analyser un besoin client pour formuler des questions analytiques
324	0	8	Créer un tableau de bord répondant à des questions analytiques
324	0	8	Générer des graphiques adaptés aux types de données
324	0	8	Synthétiser des résultats à destination d'un client
324	0	9	Explorer des données pour synthétiser des variables
324	0	9	Effectuer un clustering simple
324	0	10	Opérer des classifications automatiques pour partitionner les données
324	0	10	Réaliser une régression logistique
324	0	10	Réaliser une régression linéaire
324	0	10	Réaliser une analyse prédictive
164	0	1	Construire pas à pas son projet professionnel
164	0	2	Manipuler des données avec des librairies Python spécialisées
164	0	2	Effectuer une représentation graphique à l'aide d'une librairie Python adaptée
164	0	2	Maîtriser les opérations fondamentales du langage Python pour la Data Science
164	0	2	Utiliser un notebook Jupyter pour faciliter la rédaction du code et la collaboration
164	0	2	Mettre en place un environnement Python
164	0	3	Communiquer ses résultats à l’aide de représentations graphiques lisibles et pertinentes
164	0	3	Effectuer des opérations de nettoyage sur des données structurées
164	0	3	Effectuer une analyse statistique multivariée
164	0	3	Effectuer une analyse statistique univariée
164	0	4	Mettre en place le modèle d'apprentissage supervisé adapté au problème métier
164	0	4	Évaluer les performances d’un modèle d'apprentissage supervisé
164	0	4	Adapter les hyperparamètres d'un algorithme d'apprentissage supervisé afin de l'améliorer
164	0	4	Transformer les variables pertinentes d'un modèle d'apprentissage supervisé
164	0	5	Mettre en place le modèle d'apprentissage non supervisé adapté au problème métier
164	0	5	Transformer les variables pertinentes d'un modèle d'apprentissage non supervisé
164	0	5	Adapter les hyperparamètres d'un algorithme non supervisé afin de l'améliorer
164	0	5	Évaluer les performances d’un modèle d'apprentissage non supervisé
164	0	6	Prétraiter des données image pour obtenir un jeu de données exploitable
164	0	6	Mettre en œuvre des techniques de réduction de dimension
164	0	6	Représenter graphiquement des données à grandes dimensions
164	0	6	Prétraiter des données texte pour obtenir un jeu de données exploitable
164	0	7	Présenter son travail de modélisation à l'oral
164	0	7	Déployer un modèle via une API dans le Web
164	0	7	Utiliser un logiciel de version de code pour assurer l’intégration du modèle
164	0	7	Rédiger une note méthodologique afin de communiquer sa démarche de modélisation
164	0	7	Réaliser un dashboard pour présenter son travail de modélisation
164	0	8	Paralléliser des opérations de calcul avec Pyspark
164	0	8	Utiliser les outils du cloud pour manipuler des données dans un environnement Big Data
164	0	8	Identifier les outils du cloud permettant de mettre en place un environnement Big Data
148	0	1	Construire pas à pas son projet professionnel
148	0	2	Communiquer ses résultats à l’aide de représentations graphiques lisibles et pertinentes
148	0	2	Effectuer des opérations de nettoyage sur des données structurées
148	0	2	Effectuer une analyse statistique multivariée
148	0	2	Effectuer une analyse statistique univariée
148	0	3	Mettre en place le modèle d'apprentissage supervisé adapté au problème métier
148	0	3	Évaluer les performances d’un modèle d'apprentissage supervisé
148	0	3	Adapter les hyperparamètres d'un algorithme d'apprentissage supervisé afin de l'améliorer
148	0	3	Transformer les variables pertinentes d'un modèle d'apprentissage supervisé
148	0	4	Mettre en place le modèle d'apprentissage non supervisé adapté au problème métier
148	0	4	Transformer les variables pertinentes d'un modèle d'apprentissage non supervisé
148	0	4	Adapter les hyperparamètres d'un algorithme non supervisé afin de l'améliorer
148	0	4	Évaluer les performances d’un modèle d'apprentissage non supervisé
148	0	5	Représenter graphiquement des données à grandes dimensions
148	0	5	Prétraiter des données non structurées pour obtenir un jeu de données exploitable
148	0	5	Mettre en œuvre des techniques d’extraction de features pour des données non structurées
148	0	5	Mettre en œuvre des techniques de réduction de dimension
148	0	6	Évaluer les performances d’un modèle de Deep Learning
148	0	6	Adapter les paramètres d'un modèle de Deep Learning afin de l’améliorer
148	0	6	Mettre en place un modèle de Deep Learning
148	0	6	Sélectionner un modèle d'apprentissage Deep Learning adapté à une problèmatique métier
148	0	6	Transformer les variables pertinentes d'un modèle de Deep Learning
148	0	7	Identifier des sources d'informations fiables et pertinentes
148	0	7	"Identifier les méthodes ""état de l'art"" pour résoudre un problème de Data science"
148	0	7	Développer une preuve de concept pour résoudre un problème de Data science
148	0	7	Réaliser une veille sur les évolutions de la Data Science
148	0	8	Rédiger une note méthodologique afin de communiquer sa démarche de modélisation
148	0	8	Utiliser un logiciel de version de code pour assurer l’intégration du modèle
148	0	8	Présenter son code aux standards PEP 8
148	0	8	Enrichir les réalisations d'autres membres de la communauté de professionnels
64	0	1	Construire pas à pas son projet professionnel
64	0	2	Comprendre la notion de Resilient Distributed Datasets
64	0	2	Débugger/Accélérer un programme distribué
64	0	2	Déployer et administrer une plateforme de calcul distribué dans le cloud
64	0	2	Réaliser l'apprentissage distribué d'un modèle de machine learning
64	0	2	Réaliser un calcul distribué avec Spark
64	0	3	Réaliser des traitements distribués de données en temps réel
64	0	3	Créer et visualiser des métriques à partir de données générées en temps réel
64	0	3	Créer une plateforme distribuée de flux de messages en temps réel
64	0	4	Concevoir un data lake
64	0	4	Mettre en place des outils d’analyse de données par lot
64	0	4	Représenter des structures de données complexes
64	0	4	Sérialiser des données semi-structurées avec Avro
64	0	4	Stocker des données distribuées avec HDFS
64	0	5	Distribuer des algorithmes sur un cluster de calcul de manière optimale
64	0	5	Indexer des données avec NoSQL
