path_id	project_id	project_number	skill
530	0	1	Définir le cadre de votre formation
530	0	2	Stocker du contenu en ligne ou sur un ordinateur
530	0	2	Évaluer la fiabilité des informations trouvées sur internet
530	0	2	Utiliser un moteur de recherche adapté
530	0	2	Utiliser un service en ligne
530	0	3	Réaliser des documents textes
530	0	3	Choisir le bon format numérique pour créer du contenu numérique
530	0	3	Réaliser des documents de présentation
530	0	3	Réaliser des documents sous forme de tableur
530	0	3	Écrire un mode opératoire pour décrire l'utilisation d'un outil
530	0	3	Respecter les règles des licences et du droit d'auteur
530	0	4	Communiquer par courriel
530	0	4	Repérer une fausse identité, un faux profil et un bot
530	0	4	Choisir un outil numérique de communication adapté
530	0	4	Collaborer en ligne grâce à des outils spécifiques
530	0	4	Utiliser un réseau social en respectant ses usages
530	0	4	Identifier les obligations légales de base de la communication numérique
530	0	5	Reconnaître des tentatives de fraude par courriel ou site Internet
530	0	5	Protéger ses données personnelles et sa réputation en ligne
530	0	5	Créer des mots de passe sécurisés
530	0	5	Utiliser des outils pour sécuriser son environnement numérique
530	0	6	Modifier les paramètres et options des logiciels pour résoudre une situation
530	0	6	Utiliser les moteurs de recherche pour résoudre un problème simple
530	0	6	Identifier des ressources pour actualiser ses compétences bureautiques
530	0	6	Trouver les points clés d'un problème informatique
577	0	1	Définir le cadre de votre formation
577	0	2	Stocker du contenu en ligne ou sur un ordinateur
577	0	2	Évaluer la fiabilité des informations trouvées sur internet
577	0	2	Utiliser un moteur de recherche adapté
577	0	2	Utiliser un service en ligne
577	0	3	Communiquer par courriel
577	0	3	Repérer une fausse identité, un faux profil et un bot
577	0	3	Choisir un outil numérique de communication adapté
577	0	3	Collaborer en ligne grâce à des outils spécifiques
577	0	3	Utiliser un réseau social en respectant ses usages
577	0	3	Identifier les obligations légales de base de la communication numérique
577	0	4	Reconnaître des tentatives de fraude par courriel ou site Internet
577	0	4	Protéger ses données personnelles et sa réputation en ligne
577	0	4	Créer des mots de passe sécurisés
577	0	4	Utiliser des outils pour sécuriser son environnement numérique
218	0	1	Identifier ses forces, faiblesses, moyens et contraintes en tant qu'entrepreneur
218	0	1	Formaliser une idée sous la forme d'un business model canvas
218	0	1	Créer l'identité visuelle d'une marque
218	0	1	Définir une offre et une proposition de valeur
218	0	1	Réaliser une étude de marché
218	0	1	Valider la pertinence d'une offre auprès de cibles potentielles
218	0	1	Planifier les étapes nécessaires pour créer une activité
218	0	2	Identifier une équipe autour d'un projet de création d'entreprise
218	0	2	Réaliser un plan d'action commercial
218	0	2	Réaliser un plan d'action marketing et de communication
218	0	3	Rédiger un executive summary convaincant
218	0	3	Réaliser les états financiers prévisionnels pour une activité
218	0	3	Effectuer les démarches administratives de création d’une entreprise
218	0	4	Prospecter des clients, fournisseurs ou partenaires
218	0	4	Développer la présence online ou offline d'une activité
218	0	4	Présenter un projet d'entreprise de manière convaincante
218	0	5	Assurer les bases d'une gestion administrative et comptable d'une entreprise
218	0	5	Suivre la performance d'une activité
106	0	1	Rédiger efficacement un CV
106	0	1	Personnaliser un programme de formation
106	0	1	Fixer des objectifs clairs
106	0	2	Contribuer à définir la politique commerciale
106	0	2	Maîtriser l'environnement économique de son organisation
106	0	2	Établir le diagnostic stratégique d'une entreprise
106	0	3	Réaliser la gestion financière en suivant des indicateurs de performance
106	0	4	Gérer les temps de travail de son équipe
106	0	4	Recruter un salarié
106	0	4	Mener les actions administratives de gestion du personnel
106	0	5	Participer aux travaux relatifs à la santé et la sécurité
106	0	5	Ajuster les emplois et développer les compétences
106	0	6	Contribuer à la mise en œuvre d'une démarche qualité, environnementale et sociale
106	0	7	Organiser le travail de son équipe
106	0	7	Appliquer les règles du droit social dans son équipe
106	0	7	Animer au quotidien son équipe
